"","participant","group","composite_score"
"1","Ally Fiengo","L1",0
"2","ENGNATIVE_2023_04","L1",1.7
"3","L2SPAN_2023_02","L1",4
"4","L2SPAN_2023_04","L1",2.6
"5","L2SPAN_2023_05","L1",3.75
"6","L2SPAN_2023_12","L1",0
"7","L2SPAN_2023_19","L1",0
"8","L2SPAN_2023_20","L1",1.35
"9","L2SPAN_2023_24","L1",0.5
"10","L2SPAN_2023_25","L1",0.75
"11","L2SPAN_2023_26","L1",1.75
"12","L2SPAN_2023_27","L1",2.15
"13","L2SPAN_2023_28","L1",2.75
"14","L2SPAN_2023_29","L1",3.5
"15","L2SPAN_2023_30","L1",1.7
"16","L2SPAN_2023_36","L1",1.3
"17","L2SPAN_2023_40","L1",5.1
"18","L2SPAN_2023_41","L1",5
"19","L2SPAN_2023_42","L1",1.6
"20","L2SPAN_2023_44","L1",0.75
"21","L2SPAN_2023_45","L1",2.75
"22","L2SPAN_2023_46","L1",1.2
"23","L2SPAN_2023_47","L1",0.7
"24","L2SPAN_2023_49","L1",0.5
"25","L2SPAN_2023_63","L1",4
"26","L2SPAN_2023_68","L1",1.7
"27","L2SPAN_2023_70","L1",2.25
"28","L2SPAN_2023_74","L1",2.85
"29","L2SPAN_2023_77","L1",2.25
"30","L2SPAN_2023_82","L1",2.75
"31","ADV_EN_16","L2_advanced",1.9
"32","ADV_EN_17","L2_advanced",1.6
"33","ADV_EN_18","L2_advanced",1.75
"34","ADV_EN_19","L2_advanced",2.7
"35","ADV_EN_20","L2_advanced",2
"36","ADV_EN_21","L2_advanced",0
"37","ADV_EN_22","L2_advanced",1
"38","ADV_EN_23","L2_advanced",0.5
"39","ADV_EN_24","L2_advanced",0
"40","ADV_EN_25","L2_advanced",1
"41","ADV_EN_26","L2_advanced",2.25
"42","ADV_EN_28","L2_advanced",1
"43","ADV_EN_30","L2_advanced",0
"44","ANC_JADV_01","L2_advanced",0
"45","INC_J_02","L2_advanced",0
"46","INC_J_02","L2_beginner",0
"47","INC_J_ADC_05","L2_advanced",0
"48","INC_J_ADV_011","L2_advanced",2.25
"49","INC_J_ADV_02","L2_advanced",2.5
"50","INC_J_ADV_03","L2_advanced",0.5
"51","INC_J_ADV_06","L2_advanced",0.75
"52","INC_J_ADV_07","L2_advanced",4.5
"53","INC_J_BEG_01","L2_beginner",3.25
"54","INC_J_BEG_010","L2_beginner",0.5
"55","INC_J_BEG_011","L2_beginner",2.75
"56","INC_J_BEG_012","L2_beginner",2.85
"57","INC_J_BEG_013","L2_beginner",0.75
"58","INC_J_BEG_014","L2_beginner",0
"59","INC_J_BEG_015","L2_beginner",0
"60","INC_J_BEG_016","L2_beginner",1.6
"61","INC_J_BEG_03","L2_beginner",4
"62","INC_J_BEG_06","L2_beginner",0
"63","INC_J_BEG_07","L2_beginner",2.35
"64","INC_J_BEG_09","L2_beginner",0.75
"65","INC_J_BEG_31","L2_beginner",0
"66","INC_J_BEG_32","L2_beginner",4.75
"67","INC_J_BEG_33","L2_beginner",1.6
"68","INC_J_BEG_34","L2_beginner",0
"69","INC_J_BEG_36","L2_beginner",0
"70","INC_J_BEG_37","L2_beginner",0
"71","INC_J_BEG_38","L2_beginner",0
"72","INC_J_BEG_8","L2_beginner",0.75
"73","INC_J_SDV_04","L2_advanced",0
"74","INC__BEG_05","L2_beginner",0
"75","ING_J_BEG_40 vicente","L2_beginner",0
"76","ING_J_BEG_41","L2_beginner",0
"77","ING_J_BEG_43","L2_beginner",0
"78","ING_J_BEG_45","L2_beginner",0.75
"79","ING_J_BEG_46","L2_beginner",0
"80","Paloma","L2_beginner",0
"81","giovany","L2_beginner",0
"82","inc_j_beg_04","L2_beginner",2.35
